Source Name	ERS	Type	MaterialType	ExtractName	AssayName	ERX	ERR
a2i_3_15	ERS1032110	a2i	single_cell	a2i_3_15	Teichmann_a2i_3_15_	ERX1283537	ERR1211286
a2i_3_16	ERS1032111	a2i	single_cell	a2i_3_16	Teichmann_a2i_3_16_	ERX1283538	ERR1211287
a2i_3_17	ERS1032112	a2i	single_cell	a2i_3_17	Teichmann_a2i_3_17_	ERX1283539	ERR1211288
a2i_3_18	ERS1032113	a2i	single_cell	a2i_3_18	Teichmann_a2i_3_18_	ERX1283540	ERR1211289
a2i_3_19	ERS1032114	a2i	single_cell	a2i_3_19	Teichmann_a2i_3_19_	ERX1283541	ERR1211290
a2i_3_20	ERS1032115	a2i	single_cell	a2i_3_20	Teichmann_a2i_3_20_	ERX1283542	ERR1211291
a2i_3_21	ERS1032116	a2i	single_cell	a2i_3_21	Teichmann_a2i_3_21_	ERX1283543	ERR1211292
a2i_3_22	ERS1032117	a2i	single_cell	a2i_3_22	Teichmann_a2i_3_22_	ERX1283544	ERR1211293
a2i_3_23	ERS1032118	a2i	single_cell	a2i_3_23	Teichmann_a2i_3_23_	ERX1283545	ERR1211294
a2i_3_24	ERS1032119	a2i	single_cell	a2i_3_24	Teichmann_a2i_3_24_	ERX1283546	ERR1211295
a2i_3_25	ERS1032120	a2i	single_cell	a2i_3_25	Teichmann_a2i_3_25_	ERX1283547	ERR1211296
a2i_3_26	ERS1032121	a2i	single_cell	a2i_3_26	Teichmann_a2i_3_26_	ERX1283548	ERR1211297
a2i_3_27	ERS1032122	a2i	single_cell	a2i_3_27	Teichmann_a2i_3_27_	ERX1283549	ERR1211298
a2i_3_28	ERS1032123	a2i	single_cell	a2i_3_28	Teichmann_a2i_3_28_	ERX1283550	ERR1211299
a2i_3_29	ERS1032124	a2i	single_cell	a2i_3_29	Teichmann_a2i_3_29_	ERX1283551	ERR1211300
a2i_3_30	ERS1032125	a2i	single_cell	a2i_3_30	Teichmann_a2i_3_30_	ERX1283552	ERR1211301
a2i_3_31	ERS1032126	a2i	single_cell	a2i_3_31	Teichmann_a2i_3_31_	ERX1283553	ERR1211302
a2i_3_32	ERS1032127	a2i	single_cell	a2i_3_32	Teichmann_a2i_3_32_	ERX1283554	ERR1211303
a2i_3_33	ERS1032128	a2i	single_cell	a2i_3_33	Teichmann_a2i_3_33_	ERX1283555	ERR1211304
a2i_3_34	ERS1032129	a2i	single_cell	a2i_3_34	Teichmann_a2i_3_34_	ERX1283556	ERR1211305
a2i_3_35	ERS1032130	a2i	single_cell	a2i_3_35	Teichmann_a2i_3_35_	ERX1283557	ERR1211306
a2i_3_36	ERS1032131	a2i	single_cell	a2i_3_36	Teichmann_a2i_3_36_	ERX1283558	ERR1211307
a2i_3_37	ERS1032132	a2i	single_cell	a2i_3_37	Teichmann_a2i_3_37_	ERX1283559	ERR1211308
a2i_3_38	ERS1032133	a2i	single_cell	a2i_3_38	Teichmann_a2i_3_38_	ERX1283560	ERR1211309
a2i_3_39	ERS1032134	a2i	single_cell	a2i_3_39	Teichmann_a2i_3_39_	ERX1283561	ERR1211310
a2i_3_40	ERS1032135	a2i	single_cell	a2i_3_40	Teichmann_a2i_3_40_	ERX1283562	ERR1211311
a2i_3_41	ERS1032136	a2i	single_cell	a2i_3_41	Teichmann_a2i_3_41_	ERX1283563	ERR1211312
a2i_3_42	ERS1032137	a2i	single_cell	a2i_3_42	Teichmann_a2i_3_42_	ERX1283564	ERR1211313
a2i_3_43	ERS1032138	a2i	single_cell	a2i_3_43	Teichmann_a2i_3_43_	ERX1283565	ERR1211314
a2i_3_44	ERS1032139	a2i	single_cell	a2i_3_44	Teichmann_a2i_3_44_	ERX1283566	ERR1211315
a2i_3_45	ERS1032140	a2i	single_cell	a2i_3_45	Teichmann_a2i_3_45_	ERX1283567	ERR1211316
a2i_3_46	ERS1032141	a2i	single_cell	a2i_3_46	Teichmann_a2i_3_46_	ERX1283568	ERR1211317
a2i_3_47	ERS1032142	a2i	single_cell	a2i_3_47	Teichmann_a2i_3_47_	ERX1283569	ERR1211318
a2i_3_48	ERS1032143	a2i	single_cell	a2i_3_48	Teichmann_a2i_3_48_	ERX1283570	ERR1211319
a2i_3_49	ERS1032144	a2i	single_cell	a2i_3_49	Teichmann_a2i_3_49_	ERX1283571	ERR1211320
a2i_3_50	ERS1032145	a2i	single_cell	a2i_3_50	Teichmann_a2i_3_50_	ERX1283572	ERR1211321
a2i_3_51	ERS1032146	a2i	single_cell	a2i_3_51	Teichmann_a2i_3_51_	ERX1283573	ERR1211322
a2i_3_52	ERS1032147	a2i	single_cell	a2i_3_52	Teichmann_a2i_3_52_	ERX1283574	ERR1211323
